No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
2407,20220209,4:06:00 PM,2022,2,9,16,6,SPY,C,500,6/17/2022,2.8,457.445,0.91489,92,0.000426598,0.27
2408,20220209,4:10:00 PM,2022,2,9,16,10,SPY,C,500,6/17/2022,2.85,457.43,0.91486,92,0.000445399,0.27
2409,20220210,9:30:00 AM,2022,2,10,9,30,SPY,C,500,6/17/2022,2.19,451.905,0.90381,91,0.005481631,0.41
2410,20220210,9:32:00 AM,2022,2,10,9,32,SPY,C,500,6/17/2022,2.23,452.465,0.90493,91,0.005669615,0.41
2411,20220210,9:33:00 AM,2022,2,10,9,33,SPY,C,500,6/17/2022,2.25,452.36,0.90472,91,0.005603614,0.41
2412,20220210,9:36:00 AM,2022,2,10,9,36,SPY,C,500,6/17/2022,2.3,452.79,0.90558,91,0.005651598,0.41
2413,20220210,9:37:00 AM,2022,2,10,9,37,SPY,C,500,6/17/2022,2.35,453.005,0.90601,91,0.005700806,0.41
2414,20220210,9:38:00 AM,2022,2,10,9,38,SPY,C,500,6/17/2022,2.31,452.965,0.90593,91,0.000637813,0.41
2415,20220210,9:39:00 AM,2022,2,10,9,39,SPY,C,500,6/17/2022,2.29,453.52,0.90704,91,0.000633621,0.41
2416,20220210,9:40:00 AM,2022,2,10,9,40,SPY,C,500,6/17/2022,2.35,453.83,0.90766,91,0.000499539,0.41
2417,20220210,9:42:00 AM,2022,2,10,9,42,SPY,C,500,6/17/2022,2.48,453.995,0.90799,91,0.000479578,0.41
2418,20220210,9:47:00 AM,2022,2,10,9,47,SPY,C,500,6/17/2022,2.42,453.97,0.90794,91,0.000548856,0.41
2419,20220210,9:49:00 AM,2022,2,10,9,49,SPY,C,500,6/17/2022,2.41,453.955,0.90791,91,0.00053633,0.41
2420,20220210,9:54:00 AM,2022,2,10,9,54,SPY,C,500,6/17/2022,2.63,455.175,0.91035,91,0.001136525,0.41
2421,20220210,9:55:00 AM,2022,2,10,9,55,SPY,C,500,6/17/2022,2.55,455.395,0.91079,91,0.001142054,0.41
2422,20220210,9:59:00 AM,2022,2,10,9,59,SPY,C,500,6/17/2022,2.64,455.15,0.9103,91,0.001270301,0.41
2423,20220210,10:01:00 AM,2022,2,10,10,1,SPY,C,500,6/17/2022,2.6,455.755,0.91151,91,0.001267494,0.41
2424,20220210,10:02:00 AM,2022,2,10,10,2,SPY,C,500,6/17/2022,2.62,456.225,0.91245,91,0.001182092,0.41
2425,20220210,10:05:00 AM,2022,2,10,10,5,SPY,C,500,6/17/2022,2.69,456.345,0.91269,91,0.000725048,0.41
2426,20220210,10:06:00 AM,2022,2,10,10,6,SPY,C,500,6/17/2022,2.72,456.375,0.91275,91,0.000752945,0.41
